0: 311,217,120
1: 172,326,385
2: 310
3: 239
4: 296,283
5: 68,113,271
6: 155,306,362,331
7: 144,255
8: 244,268
9: 197,384
10: 316,337,164,327
11: 127,167,320,346
12: 108,21,241,324
13: 46,302,176
14: 165,358,273
15: 312,231
16: 360,190,265
17: 298,329,308
18: 230,299,118
19: 334,148,152,357
20: 186,227
21: 349,12
22: 109,203,208
23: 153,313
24: 249,192
25: 216,300,138,94,246
26: 335,145,284
27: 102,210,162,205,381
28: 125,314
29: 139,237,351,209
30: 275,279,378
31: 328,269
32: 262,372
33: 234
34: 74,254
35: 129,211
36: 240,319,291
37: 287,274
38: 201,224,386,202
39: 130,309
40: 187,48,172,223,258,280
41: 383,348
42: 243,269,347,365
43: 236
44: 207,103,230
45: 159,386,189
46: 13,182,195,302,354
47: 123,377
48: 202,40,223,224,124
49: 306,367
50: 263,161,303,374
51: 200
52: 276,146
53: 163,240,319
54: 363,157,180
55: 250,263,356
56: 278,288,182,379,177
57: 213,292
58: 272,215,270,136
59: 198,204,242,297,117
60: 140,257,256
61: 336,304
62: 126,189,257
63: 187,350,197,376,144
64: 106,247
65: 158,337,361
66: 322
67: 370,194,368
68: 161,232,5,181
69: 289,355,132
70: 209,298,107,179
71: 375,173
72: 248,133,283
73: 272,266
74: 34,315
75: 259,214
76: 255,199,266
77: 226,220
78: 82,174
79: 294,143
80: 109,238
81: 120,317,342,372
82: 78,343
83: 89,235,151,340
84: 198,379,384,177,333
85: 281,293,358
86: 253,88,295
87: 225,229,104
88: 253,86,307,193
89: 83,243,237
90: 99,335,369
91: 153,364,184,264
92: 191,206,373
93: 330,347
94: 246,357,25,216,285,300
95: 160,166,262,352,154
96: 149,245,318,321
97: 129,267,137
98: 181,221,218
99: 90,171,141,329
101: 278,201
102: 27,200,210
103: 207,44,230
104: 273,87,225
105: 119,244
106: 247,184,64,277
107: 179,70,298
108: 212,12,140,324
109: 22,80,214
110: 294,253,349
111: 364,184,208,264
112: 245,290,234
113: 285,5,271
114: 312,231,275
115: 252,282
116: 251,259,285
117: 59,204,242,297
118: 316,351,18,299
119: 105,254,222
120: 342,81,0
121: 218,297
122: 322,220
123: 228,282,47
124: 48,233,223,224
125: 314,347,28
126: 233,62,257
127: 290,309,236,11
128: 243,269
129: 35,97,211,246
130: 39,344
131: 239,324
132: 338,69
133: 283,72
134: 163,213
135: 248,283,343
136: 58,215,270
137: 301,97,267
138: 246,25,216,353
139: 158,237,351,29,313
140: 206,108,60
141: 268,329,99
142: 293
143: 200,275,79
144: 7,354,63
145: 284,309,26
146: 52,201,224,339,380
147: 227,295
148: 19,152,357
149: 96,245,321
150: 258,280
151: 340,277,183,83,305
152: 219,301,19,334,148
153: 91,264,23
154: 279,378,95
155: 306,6,219,334
156: 355,249
157: 180,345,54
158: 65,139,337,342
159: 45,272
160: 95,286,352
161: 68,232,303,50
162: 317,210,27,381
163: 53,240,134
164: 311,327,10,316
165: 14,358
166: 95,260,262
167: 11,346
168: 250,175
169: 323,366,322
170: 331,190,310
171: 261,99
172: 385,1,40
173: 381,71
174: 78,278,288
175: 332,168
176: 356,13,302
177: 196,333,84,379,56,278
178: 361,369
179: 366,107,70,298,328
180: 157,336,54,363,304
181: 98,221,68,232
182: 46,379,56
183: 274,235,151,305
184: 111,364,264,277,91,106
185: 365,287
186: 227,362,20
187: 63,40,350,197
188: 383,348
189: 62,45,386,325
190: 170,265,16
191: 325,359,92,373
192: 315,24,371
193: 307,382,88
194: 368,67
195: 46,341
196: 177,375,333,380
197: 9,376,63,187
198: 59,84,384,367
199: 76,255
200: 143,275,378,51,102
201: 38,146,224,339,101,333,380
202: 48,38,224,386
203: 22,208
204: 59,242,297,117
205: 381,27
206: 140,92,373
207: 44,103
208: 22,111,364,203
209: 70,346,351,29
210: 102,27,162,317,372
211: 35,129
212: 108
213: 134,292,57
214: 259,75,109
215: 58,136
216: 25,285,353,138,94,246
217: 0
218: 98,121,297
219: 152,155
220: 226,77,122
221: 181,98,302
222: 119,254
223: 233,280,40,48,124
