0: 130,70,132,17
2: 22,137,153,194
3: 230,140,149,179,81,166
4: 32,247,20,142,126,23
5: 145,110,218
6: 193,19,148,141,232,82
7: 176,242,49,148,150,163
8: 244,108,156,42,219
9: 115,159,209,157,223
10: 94,254,231,213,34,164
11: 189,97,229,192,166
12: 25,82,210,21,171,239
13: 154,104,173
14: 207,57,151,184,175,88
15: 62,180,221
16: 46,183,235,60,225
17: 185,168,70,0
18: 89,246,189,111,190,230
19: 193,6,90,198,82,21
20: 195,202,142,32,85,4
21: 82,12,239,19,198,197
22: 2,137,201
23: 98,133,4,142,205,126
24: 63,127,91,250,208,103
25: 82,12,210,182,232,106
26: 172,246,155,212,28,47
27: 215,109,156,184,88,244
28: 191,47,233,220,212,26
29: 193,90,227,186,222,141
30: 224,206,77,51
31: 96,68,169,226,124,136
32: 199,247,4,228,20
33: 40,131,70,132,74,162
34: 110,218,164,10,161,254
35: 117,229,72,182,143,240
36: 167,144
37: 41,93,159,105,78,146
38: 134,149
39: 71,152,97,129,179
40: 131,33,190,74,89,216
41: 253,93,37,159,157,245
42: 195,219,202,160,8
43: 94,135,162,254,102,131
44: 80,93,105,204,165,67
45: 68,107,169,75,167,255
46: 118,183,16,170,225,64
47: 28,233,200,113,172,26
48: 117,192,111,220,174,212
49: 176,242,165,7,114,87
50: 92,54,178,248
51: 30,77,181
52: 187,73
53: 191,119,241,242,150,236
54: 92,252,50,197,248,198
55: 199,228,238,107,95,120
56: 203,139,103,100,211,58
57: 112,207,14,256,88,177
58: 211,207,103,56,250,151
59: 147,102,213,116,133,94
60: 128,225,251,217,16
61: 119,233,200,123,219,160
62: 15,221,245,83,125
63: 127,223,24,91
64: 225,46,170,188
65: 134,130
66: 132,74,81,130,134
67: 176,165,141,80,44,227
68: 45,31,169,153,124,75
69: 185,135,161,168,79
70: 33,132,162,168,17,0
71: 39,140,179
72: 174,106,84,182,117,35
73: 121,187,178,186,222,52
74: 40,66,33,132,190
75: 167,194,144,153,45,68
76: 113,202,142,160,200,98
77: 30,206,171,181,101,51
78: 214,175,105,158,146,37
79: 218,161,69
80: 44,253,237,227,93,67
81: 230,149,3,66
82: 25,12,21,6,19,232
83: 121,187,125,234,62
84: 150,163,236,174,72,106
85: 199,238,226,99,195,20
86: 181,129,138,152
87: 215,114,241,242,49
88: 244,177,57,14,184,27
89: 246,155,216,18,40,190
90: 248,193,19,29,198,222
91: 63,223,24,250,214,146
92: 252,50,54
93: 80,44,253,41,37,105
94: 43,10,254,102,59,213
95: 104,120,173,255,107,55
96: 31,243,124,112,256,136
97: 11,229,129,240,179,39
98: 23,116,133,113,76,142
99: 108,136,226,85,195
100: 211,196,139,56,201
101: 181,143,138,210,171,77
102: 147,59,216,43,94,131
103: 208,203,56,24,250,58
104: 13,154,217,95,120,173
105: 78,158,204,44,93,37
106: 232,163,72,84,25,182
107: 238,45,169,255,95,55
108: 256,99,244,177,8,136
109: 215,114,27,184,158,204
110: 5,145,188,34,164,170
111: 189,48,192,246,18,212
112: 196,57,243,96,256
113: 76,47,200,98,116,172
114: 109,87,204,165,49
115: 180,209,221,9,157
116: 98,147,59,133,113,172
117: 48,35,229,192,174,72
118: 205,46,183,170,126,231
119: 191,61,53,233,241,123
120: 104,217,95,55,228,235
121: 187,73,83,186,125,237
122: 224,206,252,197,239
123: 215,156,241,219,119,61
124: 137,243,153,96,31,68
125: 121,83,245,62,253,237
126: 118,205,183,247,4,23
127: 63,24,208
128: 60,225,251
129: 86,138,240,97,39,152
130: 0,66,132,65,134
131: 40,33,102,216,43,162
132: 66,70,33,74,130,0
133: 23,98,59,213,116,205
134: 65,38,66,149,130
135: 43,161,162,168,254,69
136: 256,99,108,96,31,226
137: 2,22,243,201,153,124
138: 181,86,143,129,240,101
139: 203,56,100
140: 149,3,179,71
141: 176,148,67,227,193,6,29
142: 20,202,76,4,23,98
143: 138,240,101,210,182,35
144: 194,36,75,167
145: 5,110,188
146: 214,78,223,91,159,37
147: 102,59,116,172,155,216
148: 176,7,141,6,232,163
149: 140,3,81,38,134
150: 163,236,84,242,7,53
151: 214,175,250,58,207,14
152: 39,86,129
153: 2,137,124,194,75,68
154: 13,251,104,217
155: 172,89,246,216,26,147
156: 215,27,123,244,8,219
157: 115,159,221,9,245,41
158: 184,175,105,78,204,109
159: 9,157,223,146,41,37
160: 42,219,202,76,61,200
161: 135,254,218,34,79,69
162: 43,135,168,131,70,33
163: 232,150,106,84,148,7
164: 110,34,170,231,10
165: 176,49,67,204,44,114
166: 230,3,179,189,11
167: 36,75,255,144,45
168: 135,162,70,185,69,17
169: 238,45,31,68,107,226
170: 118,46,231,64,110,188,164
171: 12,210,239,206,77,101
172: 155,26,113,47,147,116
173: 255,13,104,95
174: 236,72,84,220,117,48
175: 151,184,214,78,158,14
176: 165,49,148,7,67,141
177: 256,88,244,108,57
178: 73,222,248,50
179: 140,3,166,97,71,39
180: 115,221,15
181: 86,138,101,77,51
182: 25,210,72,106,35,143
183: 118,46,16,126,247,235
184: 175,158,14,88,109,27
185: 69,17,168
186: 121,73,222,237,227,29
187: 121,73,83,234,52
188: 145,110,64,170
189: 11,192,111,18,230,166
190: 40,74,89,18,230
191: 28,119,53,233,220,236
192: 189,117,48,11,229,111
193: 6,19,90,29,141
194: 144,2,153,75
195: 42,20,202,99,85
196: 112,100,211,243,201
197: 252,54,198,21,239,122
198: 248,19,90,54,197,21
199: 32,85,55,228,238
200: 47,61,233,113,76,160
201: 22,137,243,100,196
202: 42,195,20,76,142,160
203: 249,208,139,103,56
204: 105,158,44,109,114,165
205: 118,126,231,23,213,133
206: 224,30,122,77,171,239
207: 211,58,57,14,151
208: 249,203,103,127,24
209: 115,9
210: 25,12,182,171,143,101
211: 100,58,207,196,56
212: 246,26,28,220,48,111
213: 59,133,205,231,10,94
214: 151,175,78,146,91,250
215: 109,156,241,27,123,87
216: 89,155,147,102,40,131
217: 251,154,104,120,235,60
218: 5,34,161,79
219: 42,160,8,156,123,61
220: 28,191,236,174,212,48
221: 115,180,157,245,15,62
222: 178,73,186,248,90,29
223: 63,91,159,9,146
224: 30,122,206
225: 128,60,64,46,16
226: 238,31,169,99,136,85
227: 80,237,186,67,141,29
228: 199,32,247,55,235,120
229: 117,97,35,11,192,240
230: 3,81,166,18,189,190
231: 118,205,170,213,164,10
232: 163,106,148,6,25,82
233: 28,191,47,119,61,200
234: 187,83
235: 247,228,217,120,183,16
236: 150,174,84,191,53,220
237: 80,253,227,121,186,125
238: 107,169,226,199,85,55
239: 12,21,171,197,122,206
240: 143,129,138,97,35,229
241: 215,123,87,242,119,53
242: 49,7,241,87,53,150
243: 137,201,124,112,196,96
244: 88,177,108,8,156,27
245: 221,157,62,253,41,125
