0: 70,130,132,17
2: 22,137,194,153
3: 140,149,230,166,179,81
4: 126,20,32,23,142,247
5: 145,110,218
6: 141,148,193,19,232,82
7: 49,148,176,242,150,163
8: 108,42,177,219,244,156
9: 159,223,209,115,157
10: 94,254,164,213,231,34
11: 117,97,192,166,189,229
12: 210,21,171,239,82,25
13: 154,173
14: 151,175,207,88,184
15: 180,115,62,221
16: 225,64,46,60,183,235
17: 69,168,185,0,70
18: 89,111,40,190,230,189
19: 90,198,6,193,82,21
20: 32,4,142,195,202,85
21: 12,239,19,197,198,82
22: 2,137,201
23: 126,98,4,142,133,205
24: 250,91,63,127,223,208
25: 232,82,106,182,210,12
26: 28,47,220,246,212,172
27: 215,109,244,156,184
28: 26,47,233,191,236,220
29: 193,227,186,90,222
30: 77,206,224
31: 68,124,169,96,226,136
32: 20,4,85,247,199,228
33: 70,132,74,131,162
34: 135,161,218,10,254,164
35: 72,143,182,117,240,229
36: 144,167
37: 105,78,146,159,41,93
38: 149,134
39: 129,179,152,71
40: 89,18,190,131,216,74
41: 93,157,245,253,37,159
42: 99,108,8,219,160,195,202
43: 94,254,102,131,135,162
44: 80,67,165,105,93,204
45: 75,255,68,107,167,169
46: 64,16,170,183,118,231
47: 28,26,233,113,200,172
48: 72,174,220,212,117,192
49: 7,165,176,114,242,87
50: 92,54,178
51: 181,77
52: 187,234
53: 119,241,191,236,242,150
54: 92,50,252,248,197,198
55: 104,95,120,199,228,107
56: 100,211,58,139,203,103
57: 112,256,177,88,207
58: 56,211,207,103,151
59: 94,102,133,213,116,147
60: 225,16,251,217,235
61: 119,233,200,219,123,160
62: 83,125,221,245,15
63: 127,223,24
64: 225,46,16,170,188
65: 130
66: 130,132,134,81,74,190
67: 80,44,141,165,176,227
68: 75,45,124,153,169,31
69: 17,79,161,168,185
70: 0,132,33,17,162,168
71: 140,39,179
72: 35,48,106,84,174,182,117
73: 187,186,178,222
74: 66,132,33,40,190,131
75: 45,68,144,153,167,194
76: 98,142,160,202,113,200
77: 30,101,171,206,51
78: 105,37,146,175,214,158
79: 69,161,218
80: 44,67,227,237,93,253
81: 66,134,190,230,149,3
82: 232,25,6,19,21,12
83: 121,62,125,187,234
84: 72,106,150,163,174,236
85: 20,32,195,238,99,226,199
86: 181,152,138,240,129
87: 215,114,242,49,241
88: 57,177,207,14,244,184
89: 246,111,40,18,216,155
90: 19,248,198,222,29,193
91: 250,24,146,214,223
92: 50,54,252
93: 41,253,105,37,80,44
94: 10,254,102,59,43,213
95: 104,55,173,255,107
96: 112,256,136,243,124,31
97: 240,11,129,166,179,229
98: 23,76,142,113,133,116
99: 226,108,42,136,195,85
100: 56,211,139,196,201
101: 77,210,171,181,138
102: 94,59,43,147,131,216
103: 56,58,203,208,250,151
104: 95,55,120,154,217
105: 78,37,93,158,204,44
106: 232,25,72,84,163,182
107: 238,45,255,169,95,55,199
108: 99,8,42,256,136,177
109: 114,27,158,184,204
110: 170,188,164,5,145
111: 89,246,18,212,192,189
112: 96,57,256,243,196
113: 47,200,98,76,116,172
114: 109,87,204,49,165
115: 209,15,9,157,221
116: 59,133,98,113,147,172
117: 11,192,229,35,48,72
118: 205,213,231,183,126,46
119: 61,53,233,241,191,123
120: 104,55,217,228,235
121: 83,237,125,187,186
122: 206,239,252,197,224
123: 215,156,219,119,61,241
124: 68,153,31,137,96,243
125: 121,62,83,237,245,253
126: 23,4,247,183,118,205
127: 63,249,208,24
128: 251,225
129: 39,97,240,179,86,152
130: 0,65,66,132,134
131: 40,216,102,43,162,33,74
132: 0,66,70,130,33,74
133: 59,205,213,116,98,23
134: 66,130,81,38,149
135: 161,162,168,34,254,43
136: 96,99,226,108,256,31
137: 2,22,201,124,153,243
138: 181,86,143,210,101,240
139: 56,100,203
140: 149,3,71
141: 6,67,148,176,193,227
142: 98,20,23,4,76,202
143: 35,182,210,240,138
144: 75,167,194,36
145: 5,110,188
146: 91,78,37,159,214
147: 216,155,172,102,59,116
148: 6,7,141,176,232,163
149: 38,140,3,134,81
150: 84,163,242,7,53,236
151: 250,175,14,214,58,207,103
152: 86,39,129
153: 75,68,124,2,137,194
154: 251,104,217,13
155: 147,89,246,216,172
156: 215,123,27,244,8,219
157: 41,221,245,115,9,159
158: 109,184,204,105,78,175
159: 9,37,146,41,157
160: 76,202,42,219,61,200
161: 79,69,135,218,34
162: 135,168,43,131,70,33
163: 232,106,84,150,7,148
164: 10,231,110,170,34
165: 44,49,67,176,114,204
166: 97,230,11,179,189,3
167: 75,45,255,144,36
168: 17,69,135,162,70
169: 238,45,68,107,31,226
170: 64,46,110,188,164,231
171: 77,210,101,206,12,239
172: 147,246,155,26,47,113,116
173: 95,255,13
174: 48,72,84,236,220
175: 78,151,14,214,158,184
176: 49,7,67,141,148,165
177: 57,108,8,256,88,244
178: 50,248,222,73
179: 39,97,129,166,3,71
180: 15
181: 86,51,138,101
182: 35,25,72,106,143,210
183: 247,235,126,46,16,118
184: 109,27,244,158,175,14,88
185: 17,69
186: 29,121,237,73,222
187: 52,234,73,121,83
188: 64,110,170,145
189: 230,11,192,166,111,18
190: 40,18,230,66,81,74
191: 28,119,53,233,241,236
192: 117,11,189,48,111,212
193: 29,6,141,227,19,90
194: 2,75,144,153
195: 20,202,85,99,42
196: 100,211,201,112,243
197: 54,252,198,122,21,239
198: 54,19,90,248,197,21
199: 55,228,238,107,32,85
200: 47,61,233,113,76,160
201: 100,196,22,137,243
202: 20,76,142,160,195,42
203: 56,139,208,103,249
204: 109,114,158,105,44,165
205: 118,133,213,126,23
206: 30,122,77,171,239,224
207: 211,58,151,14,57,88
208: 203,103,249,127,250,24
209: 115,9
210: 101,171,12,25,143,182,138
211: 56,100,58,196,207
212: 246,111,26,220,48,192
213: 94,10,59,118,133,205,231
214: 250,91,78,146,151,175
215: 123,27,87,156,241
216: 147,89,40,131,155,102
217: 251,104,120,154,235,60
218: 79,161,34,5
219: 8,42,123,156,160,61
220: 28,26,236,48,174,212
221: 62,157,245,15,115
222: 90,178,248,73,29,186
223: 63,9,24,91
224: 30,122,206
225: 64,16,60,128
226: 99,136,238,169,31,85
227: 29,80,67,141,193,237
228: 247,55,120,199,32
229: 117,97,240,11,35
230: 166,189,18,190,81,3
231: 10,118,164,213,46,170
232: 82,25,106,163,6,148
233: 28,47,119,61,191,200
234: 52,187,83
235: 247,120,183,217,16,60
236: 28,53,191,220,84,150,174
237: 121,125,253,80,227,186
238: 107,169,226,199,85
239: 122,21,171,206,12,197
240: 97,129,229,35,143,86,138
241: 119,53,191,215,123,242,87
242: 87,49,7,53,241,150
243: 96,112,137,196,201,124
244: 27,156,184,8,177,88
245: 62,41,125,157,221,253
246: 89,111,212,155,172,26
247: 183,228,235,126,32,4
248: 54,90,178,198,222
249: 127,203,208
250: 24,91,151,214,208,103
251: 154,217,128,60
252: 92,54,197,122
253: 41,237,125,93,245,80
254: 94,10,43,135,34
255: 45,107,167,95,173
256: 96,57,112,108,136,177
