center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM,average_uM,cell_voxel_average_uM,unique_cell_voxel_count,cell_voxel_window_average_uM,unique_cell_window_voxel_count,cell_trilinear_average_uM,cell_inverse_distance_average_uM,cell_spherical_average_uM,cell_gaussian_average_uM,time_min,layout,run_id,dx_um,dt_diffusion_min,total_volume_um3
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12,10.0,324,10.0,10.0,10.0,10.0,0.0,cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1
9.935735908934381,9.916706720407182,9.924323856823493,9.924323856823491,9.924323856823493,9.861730051039737,9.998218318822872,9.972384121355107,12,9.864463737512848,324,9.970279520989168,9.920155685608764,9.970279520989164,9.970279520989047,0.1,cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1
9.853558189543502,9.82810546930422,9.83894765684773,9.83894765684773,9.83894765684773,9.780755400536913,9.99646357379964,9.926839406435676,12,9.820365815810225,324,9.924132536948017,9.878869044079869,9.924132536948017,9.924132536947925,0.2,cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1
9.810426061611693,9.783309341558562,9.79499859646334,9.794998596463342,9.79499859646334,9.738320077959836,9.994722797249459,9.89720735014076,12,9.791652495129593,324,9.894111836250795,9.851654244439056,9.894111836250795,9.894111836250724,0.3,cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1
9.783404552559688,9.755581736591674,9.767631596958,9.767631596958,9.767631596958,9.711671009186166,9.993003433592758,9.876524332557699,12,9.771521995516416,324,9.873205496283097,9.832374968774083,9.873205496283097,9.873205496283036,0.4,cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1
9.764594062068872,9.736405583998849,9.748642934495775,9.748642934495773,9.748642934495775,9.693093364492594,9.991317239605493,9.861197588368166,12,9.756559771015603,324,9.857742323580277,9.817928182765327,9.857742323580277,9.857742323580224,0.5,cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1
9.750580026178563,9.722178450232688,9.734525580417845,9.734525580417845,9.734525580417845,9.679239896692966,9.98967691140768,9.849310547002434,12,9.744930520519803,324,9.845766380527087,9.806630109521478,9.845766380527088,9.84576638052704,0.6,cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1
9.739636381819157,9.711100291937099,9.723517090380335,9.723517090380335,9.723517090380335,9.66841455881153,9.98809391164861,9.839765701338047,12,9.73557784122442,324,9.836160413156149,9.797500935031287,9.836160413156149,9.836160413156103,0.7,cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1
9.730791574916042,9.702165554432813,9.714629208969807,9.714629208969807,9.714629208969807,9.659661155958899,9.986577356872882,9.831892860912106,12,9.727854161630468,324,9.828243705790696,9.789934226991589,9.828243705790696,9.828243705790651,0.8,cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1
9.72345415561901,9.694765392158896,9.707261953831562,9.707261953831562,9.707261953831562,9.652396921863057,9.985133689350342,9.825260138818882,12,9.721340945822067,324,9.821578406861532,9.783534918712839,9.821578406861532,9.82157840686149,0.9,cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1
