0: 217,80,120
1: 172
2: 170
3: 131,239
4: 133
5: 113
6: 170,186,155
7: 144
8: 244,105
9: 197
10: 164
11: 127,244,167
12: 241,21,108,131
13: 46,176
14: 165
15: 114,231
16: 190
17: 107,141
18: 230,118
19: 148,160,152
20: 186
21: 110,12,241
22: 109,203,208
23: 153,139
24: 249
25: 216,138,94,246
26: 90,145
27: 102,205
28: 125
29: 139,237,70,209
30: 154
31: 179,128
32: 166
33: 234
34: 254
35: 129,211
36: 240
37: 185,183
38: 201,224,202
39: 127,130,145
40: 187,48,172,150,223
41: 188
42: 243,128,185
43: 127,236
44: 207,103,230
45: 159,189
46: 13,182,195,144
47: 123
48: 202,40,223,224,124
49: 155,198
50: 55,161
51: 200
52: 146
53: 163,175,240
54: 157,180
55: 50,250
56: 182,177,174
57: 249,213,156
58: 215,159,136
59: 198,242,117
60: 140,206
61: 180
62: 189,126
63: 187,197,144
64: 106,247
65: 158,178
66: 169
67: 194
68: 161,232,181
69: 132
70: 209,107,29
71: 196,173
72: 248,133,115
73: 159
74: 192
75: 116,251,214
76: 199
77: 226,220
78: 82,174
79: 253,143,110
80: 109,0,238
81: 210,120,162
82: 78,135,252
83: 89,235,151
84: 198,196,177,201
85: 142,194,165
86: 253,147,227,88
87: 225,229,104
88: 193,86
89: 83,243,237
90: 26,178
91: 153,184
92: 191,206
93: 125,173
94: 246,25,216,148
95: 160,166,154
96: 149,245
97: 129,137
98: 181,221,218
99: 171,141
101: 174,201
102: 27,200,210
103: 207,44
104: 87,225
105: 119,244,8
106: 151,247,184,64
107: 179,70,17
108: 212,12,140,131
109: 22,80,214
110: 21,79,253
111: 184,208
112: 245,234
113: 216,5
114: 15,231,143
115: 72,123,228,248
116: 251,75
117: 121,59,204
118: 164,167,18
119: 105,254,222
120: 0,81
121: 218,117,204
122: 220
123: 228,115,47
124: 48,233,223,224,126
125: 93,28
126: 233,124,62
127: 39,43,236,11
128: 42,243,31
129: 35,97,211,246
130: 39
131: 239,12,108,3
132: 69
133: 72,4
134: 163,213
135: 252,248,82
136: 58,215
137: 97
138: 246,25,216
139: 158,237,29,23
140: 206,108,60
141: 99,17
142: 85
143: 231,200,114,79
144: 7,46,63
145: 39,26
146: 52,201,196
147: 227,86
148: 19,94,152
149: 96,245
150: 40
151: 106,183,83
152: 219,19,148
153: 184,91,23
154: 30,95
155: 49,219,6
156: 57,249
157: 180,54
158: 65,162,139
159: 58,73,45
160: 19,95
161: 68,232,50
162: 158,210,81
163: 53,240,134
164: 10,118
165: 14,85
166: 95,32
167: 118,11,209
168: 250,175
169: 179,66
170: 2,6,190
171: 99
172: 1,40,187
173: 93,71
174: 78,101,56
175: 53,168
176: 250,13
177: 182,84,56
178: 90,65
179: 107,31,169
180: 157,54,61
181: 98,221,68,232
182: 46,56,177
183: 235,151,37
184: 111,153,91,106
185: 37,42
186: 6,227,20
187: 63,40,172,197
188: 41
189: 62,45,191
190: 170,16
191: 92,189
192: 74
193: 88
194: 85,67
195: 46
196: 71,84,146
197: 9,63,187
198: 59,84,49
199: 76
200: 143,51,102
201: 38,146,224,84,101
202: 48,38,224
203: 22,208
204: 242,117,121
205: 27
206: 140,92,60
207: 44,103
208: 22,111,203
209: 70,167,29
210: 81,102,162
211: 35,129
212: 108
213: 134,57
214: 75,109
215: 58,136
216: 25,113,138,94
217: 0
218: 98,121
219: 152,155
220: 77,226,122
221: 181,98
222: 119,254
223: 233,40,48,124
224: 38,201,202,48,124
225: 87,104
226: 77,220
227: 147,186,86
228: 123,240,115
229: 87
230: 18,44
231: 143,114,15
232: 161,68,181
233: 223,126,124
234: 33,112
235: 83,183
236: 127,43
237: 139,89,29
238: 80
239: 131,3
240: 53,163,228,36
241: 12,21
242: 59,204
243: 89,42,128
244: 8,105,11
245: 96,112,149
246: 129,138,94,25
247: 106,64
248: 72,115,135
249: 24,57,156
250: 55,168,176
251: 116,75
252: 135,82
253: 79,86,110
254: 119,222,34
