0: 226,66,908,691,18,784,474,5,732
1: 4,784,367,782,29,580,596,18,903,605,548,871,331
2: 433,212,210,217,652,768,757,797,180,56,676,915
3: 189,194,45,787,68,752,258,243,518,575,658,677
4: 291,131,784,333,671,367,741,348,623,1,548,331
5: 286,474,590,103,661,765,66,279,92,0,877
6: 112,16,542,574,613,423,313,543,742,107,30,795,116
7: 157,462,133,856,550,614
8: 585,604,67,227,24,840,26,611,722,792,843
9: 636,194,563,866,202,448,575,781
10: 700,318,319,325,553,560,631,276,91,268,455,271,118,88,764
11: 354,182,214,299,645,673,711,729,801,878
12: 814,718,808,809,176,880,888,177
13: 46,168,169,45,205,635,174,717,727,743
14: 135,652,237,797,588,602,293,566,774,870
15: 556,261,689,436,650,557,648,251,221,493
16: 6,112,428,574,768,60,85,543,478,531,547,795,853,116
17: 744,501,725,704,72,900
18: 71,226,66,580,596,0,903,784,1
19: 604,513,278,226,840,93,97,225,903,707,530,754,587,832
20: 95,230,533,68,747,426,588,587,602,669,238,769,69
21: 287,199,54,239,483,683,508,517,72,770,904
22: 371,151,532,439,638,696,835,377,343
23: 250,210,652,782,588,605,713,555,134,702
24: 166,513,188,840,8,722,792,733
25: 415,614,535,901,119,163,96,842,856
26: 585,67,193,461,285,8,479,583,722,843
27: 35,547,620,129,134,702,60,478,713,57,656
28: 385,289,123,620,156,716,702,565,108,682,594,779,719
29: 782,669,769,278,548,330,871,697,367,1
30: 107,420,359,6,423,313,742,116,340,316
31: 129,681,134,156,702,578,337,125,851,871
32: 372,435,633,662,692,130,329,472,681,150
33: 374,457,451,783,830,898
34: 336,835
35: 344,632,589,345,430,547,601,620,129,27,853,656
36: 122,638,719,854,887,244,565,819,132,716,582
37: 431,154,576,374,489,794
38: 449,385,353,130,529,329,526,601,739,771
39: 158,738,453,647,387,415,810,614,680,761
40: 449,384,155,829,529,799,834,858
41: 675,170,836,913,476,408,176
42: 168,174,897,47,485,603,777,231,469,191
43: 195,45,65,174,412,426,443,464,603,727
44: 172,247,499,509,549,177,629,753,821,839,888,579
45: 13,46,189,194,3,43,174,68,426,464,677
46: 13,194,45,635,563,717,743,202,575,677
47: 42,168,169,205,293,675,567,469,170,70
48: 468,193,200,461,285,509,583,549
49: 182,214,715,865,888,579,172,207,554,629,618
50: 201,209,196,447,515,581,575,658,687,781
51: 179,183,211,75,721,524,767,178,762,70,609,169,743,570
52: 460,556,62,184,181,213,218,425,459,465,891
53: 507,556,86,109,260,425,459,463,666,645,557,673,801
54: 21,199,499,508,72,821,706,253,248,744
55: 282,208,243,599,518,643,658,682,687,884
56: 180,507,109,666,650,648,676,914,915,2,212,217
57: 82,346,386,641,656,446,478,531,708,713,547,27
58: 110,354,61,301,299,666,645,528,726,593,808,912
59: 76,199,66,508,92,706,523,590,765,294,105
60: 250,108,16,428,768,478,547,620,27,853,702
61: 58,301,666,528,774,676,555,808,809,880,912,198
62: 460,556,261,86,52,213,459,812
63: 274,488,275,873,674,73,94,467,760
64: 270,269,883,735,640,495,892,441
65: 186,190,229,43,412,735,443,603,881
66: 76,694,59,596,92,0,18,839,784,5
67: 26,461,8,583,722
68: 189,45,3,20,747,426,588,602,69,243,518,677,237
69: 20,68,747,588,243,518,652,779,884
70: 51,135,75,721,169,205,47,293,170,475
71: 206,226,198,580,97,546,566,753,18,903,839,528
72: 21,54,239,704,904,900,17,744
73: 94,467,592,275,63
74: 83,259,257,264,599,522,581,600,643,755
75: 51,135,211,684,677,762,70,237,169,205,743
76: 199,66,59,596,839,301,523,528,726
77: 248,445,458,491,665,303,597,452
78: 249,736,417,235,288,828
79: 209,259,522,581,755,848
80: 660,83,216,220,203,514,581,902
81: 301,458,523,593,627,708,912,307,347,82,641,730
82: 347,308,346,628,610,386,57,679,745,730,756,81,708
83: 433,259,80,203,264,74,514,581,643,687,757
84: 403,542,613,423,313,822
85: 212,16,574,768,672,757,543,915
